%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1454689657321784090,1,1454689657320652008,trep_world,0.0,-0.354535402953,-1.0
1454689657335777433,2,1454689657335417032,trep_world,0.0,-0.354527372808,-0.999998327446
1454689657369255570,3,1454689657368841886,trep_world,0.0,-0.354497616603,-0.999994309071
1454689657403423363,4,1454689657402472972,trep_world,0.0,-0.354436584739,-0.99999524413
1454689657436254045,5,1454689657435900926,trep_world,0.0,-0.354341321161,-0.999995367515
1454689657469463790,6,1454689657468868017,trep_world,0.0,-0.354216102808,-0.999997386657
1454689657502796981,7,1454689657502458095,trep_world,0.0,-0.354067811737,-0.999999025828
1454689657536239614,8,1454689657535772085,trep_world,0.0,-0.353902937333,-0.999999333447
1454689657570292450,9,1454689657569231986,trep_world,0.0,-0.353724386907,-0.999999214741
1454689657602877283,10,1454689657602473974,trep_world,0.0,-0.35353213635,-0.999999124077
1454689657662093534,11,1454689657636003017,trep_world,0.0,-0.353329104092,-0.999999855587
1454689657669030273,12,1454689657668550968,trep_world,0.0,-0.353122712645,-0.99999986515
1454689657702541623,13,1454689657702069044,trep_world,0.0,-0.352927024775,-0.999997301711
1454689657735595381,14,1454689657735193014,trep_world,0.0,-0.352824202001,-0.999820601953
1454689657770713657,15,1454689657769078016,trep_world,0.0,-0.353010526294,-0.998959536942
1454689657803844407,16,1454689657802517890,trep_world,0.0,-0.353872823361,-0.996480062054
1454689657862404554,17,1454689657861701011,trep_world,0.0,-0.356669689736,-0.985694192691
1454689657868673596,18,1454689657868485927,trep_world,0.0,-0.362923179279,-0.964191730409
1454689657904093723,19,1454689657903855085,trep_world,0.0,-0.371821238433,-0.944105075254
1454689657937620501,20,1454689657936264038,trep_world,0.0,-0.386531646125,-0.919410530442
1454689657970636256,21,1454689657970190048,trep_world,0.0,-0.416081877998,-0.87223449503
1454689658004034925,22,1454689658003257989,trep_world,0.0,-0.448546770168,-0.825696812478
1454689658070981501,23,1454689658070787906,trep_world,0.0,-0.486736760734,-0.783725467649
1454689658074319700,24,1454689658074110031,trep_world,0.0,-0.529381783175,-0.743508836124
1454689658110370034,25,1454689658110047101,trep_world,0.0,-0.564929243654,-0.722765136548
1454689658137152267,26,1454689658136461019,trep_world,0.0,-0.621167934825,-0.691648442881
1454689658169912071,27,1454689658168786048,trep_world,0.0,-0.684397728144,-0.663640265377
1454689658211030628,28,1454689658204334020,trep_world,0.0,-0.741532649468,-0.652110249476
1454689658255897431,29,1454689658254540920,trep_world,0.0,-0.803572723948,-0.6472673783
1454689658270951677,30,1454689658270163059,trep_world,0.0,-0.870337623317,-0.649282192339
1454689658305337689,31,1454689658304534912,trep_world,0.0,-0.937406898701,-0.661885294801
1454689658338707331,32,1454689658336491107,trep_world,0.0,-1.01217095366,-0.678302013423
1454689658373022877,33,1454689658369962930,trep_world,0.0,-1.08568877943,-0.706952888005
1454689658405690265,34,1454689658404629945,trep_world,0.0,-1.15537490566,-0.749207153965
1454689658471990835,35,1454689658465059041,trep_world,0.0,-1.23441288063,-0.791703143147
1454689658474690248,36,1454689658474489927,trep_world,0.0,-1.31880658988,-0.83806507882
1454689658503324672,37,1454689658502877950,trep_world,0.0,-1.4081485861,-0.887115123734
1454689658535926424,38,1454689658535250902,trep_world,0.0,-1.50518505529,-0.931379138498
1454689658568887995,39,1454689658568517923,trep_world,0.0,-1.61003111619,-0.965948165843
1454689658602782305,40,1454689658601861953,trep_world,0.0,-1.7206344061,-0.989057038886
1454689658663952420,41,1454689658635813951,trep_world,0.0,-1.83454917736,-0.999446023177
1454689658668686387,42,1454689658668518066,trep_world,0.0,-1.94907176526,-0.996664142487
1454689658704750290,43,1454689658703558921,trep_world,0.0,-2.06146887945,-0.980943425055
1454689658736903231,44,1454689658735937118,trep_world,0.0,-2.16914685289,-0.95317497129
