%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1463677677587713914,1238,1463677677587352037,trep_world,0.0,2.42793835898,-0.999999364084
1463677677621026564,1239,1463677677620604991,trep_world,0.0,2.42792839012,-0.99999034263
1463677677678805174,1240,1463677677654128074,trep_world,0.0,2.42786769764,-0.999963306141
1463677677687634404,1241,1463677677686767101,trep_world,0.0,2.4277460557,-0.99999237903
1463677677720850512,1242,1463677677719574928,trep_world,0.0,2.42756387485,-0.999987072627
1463677677754866051,1243,1463677677753551959,trep_world,0.0,2.42730309944,-0.999938870183
1463677677788670955,1244,1463677677788285017,trep_world,0.0,2.42694076125,-0.999943654025
1463677677821501352,1245,1463677677820149898,trep_world,0.0,2.42648076506,-0.9999797395
1463677677854791781,1246,1463677677853600978,trep_world,0.0,2.42594534666,-0.999987199164
1463677677898236402,1247,1463677677898006916,trep_world,0.0,2.42533466039,-0.999961307054
1463677677921199193,1248,1463677677920742034,trep_world,0.0,2.42461982162,-0.999915340801
1463677677955587066,1249,1463677677954010009,trep_world,0.0,2.42377940317,-0.999926925686
1463677677987828204,1250,1463677677987299919,trep_world,0.0,2.42281841366,-0.999959258821
1463677678021250852,1251,1463677678019984006,trep_world,0.0,2.42175991376,-0.999976198857
1463677678080310504,1252,1463677678079628944,trep_world,0.0,2.42057931089,-0.999869642944
1463677678088081571,1253,1463677678086790084,trep_world,0.0,2.41917128831,-0.999463694253
1463677678121071008,1254,1463677678120280981,trep_world,0.0,2.4173919396,-0.998963234534
1463677678154243446,1255,1463677678153740882,trep_world,0.0,2.41508709679,-0.998304557134
1463677678188385159,1256,1463677678187053918,trep_world,0.0,2.41207989486,-0.997186485448
1463677678221045617,1257,1463677678220349073,trep_world,0.0,2.40809362247,-0.994896874066
1463677678284066716,1258,1463677678283494949,trep_world,0.0,2.40289022071,-0.9917991076
1463677678289708795,1259,1463677678289268016,trep_world,0.0,2.39611045775,-0.987866874782
1463677678320562995,1260,1463677678320116996,trep_world,0.0,2.38670895285,-0.979195046428
1463677678354317649,1261,1463677678353646993,trep_world,0.0,2.37390638433,-0.965171673446
1463677678388011113,1262,1463677678386989116,trep_world,0.0,2.35650539587,-0.945893820845
1463677678422427308,1263,1463677678421149969,trep_world,0.0,2.33206430327,-0.917430518812
1463677678482670793,1264,1463677678477776050,trep_world,0.0,2.28863613083,-0.858808237435
1463677678486721551,1265,1463677678486383914,trep_world,0.0,2.22713193585,-0.774570756981
1463677678521588124,1266,1463677678521205902,trep_world,0.0,2.17062655557,-0.707597558213
1463677678554106375,1267,1463677678553553104,trep_world,0.0,2.05857023841,-0.600980905982
1463677678590089888,1268,1463677678589369058,trep_world,0.0,1.92932478069,-0.473781436718
1463677678622012903,1269,1463677678620362043,trep_world,0.0,1.8289599632,-0.378804975255
1463677678676432077,1270,1463677678653704881,trep_world,0.0,1.67259918836,-0.271932411532
