%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1459179989961362235,1864,1459179989961132049,trep_world,0.0,-2.36733325443,0.0
1459179989978822157,1865,1459179989978179931,trep_world,0.0,-2.36568682632,0.0
1459179989994603229,1866,1459179989994107961,trep_world,0.0,-2.36533154581,0.0
1459179990011984478,1867,1459179990011594057,trep_world,0.0,-2.36458451178,0.0
1459179990028172450,1868,1459179990027297973,trep_world,0.0,-2.36383747776,0.0
1459179990046716669,1869,1459179990045367956,trep_world,0.0,-2.36345185224,0.0
1459179990062035442,1870,1459179990061616897,trep_world,0.0,-2.36308546781,0.0
1459179990079372660,1871,1459179990079034090,trep_world,0.0,-2.3631047089,0.0
1459179990095790053,1872,1459179990094633102,trep_world,0.0,-2.36185206453,0.0
1459179990112885704,1873,1459179990111537933,trep_world,0.0,-2.36059942017,0.0
1459179990138608799,1874,1459179990138382911,trep_world,0.0,-2.36003502605,0.0
1459179990144213978,1875,1459179990143801927,trep_world,0.0,-2.35947063194,0.0
1459179990161853364,1876,1459179990160942077,trep_world,0.0,-2.35692316836,0.0
1459179990178607071,1877,1459179990177882909,trep_world,0.0,-2.35420909676,0.0
1459179990195066418,1878,1459179990193998098,trep_world,0.0,-2.35387692025,0.0
1459179990212397362,1879,1459179990211709976,trep_world,0.0,-2.35371135178,0.0
1459179990228701047,1880,1459179990228037118,trep_world,0.0,-2.35374923014,0.0
1459179990245674502,1881,1459179990244016885,trep_world,0.0,-2.35322880242,0.0
1459179990262315677,1882,1459179990261518001,trep_world,0.0,-2.35255677163,0.0
1459179990278377316,1883,1459179990277990102,trep_world,0.0,-2.3524430469,0.0
1459179990297284966,1884,1459179990294867992,trep_world,0.0,-2.35266241848,0.0
1459179990312738811,1885,1459179990311414003,trep_world,0.0,-2.35275631327,0.0
1459179990343281419,1886,1459179990342972040,trep_world,0.0,-2.35263083648,0.0
1459179990346204713,1887,1459179990345984935,trep_world,0.0,-2.35388767384,0.0
1459179990363444336,1888,1459179990361594915,trep_world,0.0,-2.35502565306,0.0
1459179990379081906,1889,1459179990377767086,trep_world,0.0,-2.35465604325,0.0
1459179990395785327,1890,1459179990394993066,trep_world,0.0,-2.35440529159,0.0
1459179990413401578,1891,1459179990411999940,trep_world,0.0,-2.35806980234,0.0
1459179990428521824,1892,1459179990427550077,trep_world,0.0,-2.3617343131,0.0
1459179990446785259,1893,1459179990445207118,trep_world,0.0,-2.36388589219,0.0
1459179990462171452,1894,1459179990461016893,trep_world,0.0,-2.36668403095,0.0
1459179990478623564,1895,1459179990478184938,trep_world,0.0,-2.36733059061,0.0
1459179990497426522,1896,1459179990496778011,trep_world,0.0,-2.3656073675,0.0
1459179990513047057,1897,1459179990512658119,trep_world,0.0,-2.36388414439,0.0
1459179990539968925,1898,1459179990539231061,trep_world,0.0,-2.36405072261,0.0
1459179990544905831,1899,1459179990543781042,trep_world,0.0,-2.36496888237,0.0
1459179990562176618,1900,1459179990561434984,trep_world,0.0,-2.36215264014,0.0
1459179990578271120,1901,1459179990577681064,trep_world,0.0,-2.35858481635,0.0
1459179990595700872,1902,1459179990593594074,trep_world,0.0,-2.34999504498,0.0
