%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1463692715504221210,7305,1463692715502377986,trep_world,0.0,-2.52252516418,-1.99999999012
1463692715530377949,7306,1463692715530174970,trep_world,0.0,-2.52252008682,-1.99999965682
1463692715534878155,7307,1463692715534706115,trep_world,0.0,-2.52250684065,-1.99999813194
1463692715552667689,7308,1463692715551928997,trep_world,0.0,-2.52248229433,-1.99999486558
1463692715569068700,7309,1463692715568533897,trep_world,0.0,-2.52244414555,-1.99999002525
1463692715585728129,7310,1463692715585246086,trep_world,0.0,-2.5223767523,-1.9999696329
1463692715602344836,7311,1463692715601905107,trep_world,0.0,-2.52227495878,-1.99993844327
1463692715619770605,7312,1463692715618607997,trep_world,0.0,-2.52215146614,-1.99993470297
1463692715635737659,7313,1463692715635265111,trep_world,0.0,-2.52200539424,-1.99993336696
1463692715652638867,7314,1463692715651806116,trep_world,0.0,-2.52183919903,-1.99993698026
1463692715670167751,7315,1463692715669374942,trep_world,0.0,-2.52165391289,-1.99994162364
1463692715685729784,7316,1463692715685343027,trep_world,0.0,-2.52145285719,-1.99995014282
1463692715702504874,7317,1463692715701832056,trep_world,0.0,-2.52123558895,-1.99995539384
1463692715730184340,7318,1463692715729943990,trep_world,0.0,-2.52100354995,-1.99996069349
1463692715735255498,7319,1463692715734690904,trep_world,0.0,-2.52075789954,-1.9999657378
1463692715752227931,7320,1463692715751843929,trep_world,0.0,-2.52049716929,-1.99996724698
1463692715770130096,7321,1463692715768676042,trep_world,0.0,-2.5202161651,-1.99996121893
1463692715787026722,7322,1463692715785315990,trep_world,0.0,-2.51992078597,-1.99996417406
1463692715803468925,7323,1463692715801933050,trep_world,0.0,-2.51963244972,-1.99998849818
1463692715820378377,7324,1463692715819818973,trep_world,0.0,-2.51933435182,-1.99998944249
1463692715836358816,7325,1463692715835256099,trep_world,0.0,-2.51901327769,-1.99997690025
1463692715853459230,7326,1463692715852176904,trep_world,0.0,-2.51866818081,-1.9999623623
1463692715870630933,7327,1463692715868626117,trep_world,0.0,-2.51830147703,-1.9999539088
1463692715886298015,7328,1463692715885319948,trep_world,0.0,-2.51792710715,-1.99996800554
1463692715904591519,7329,1463692715901978015,trep_world,0.0,-2.51754078099,-1.99997315157
1463692715933899163,7330,1463692715933366060,trep_world,0.0,-2.51714179345,-1.99997517916
1463692715940487569,7331,1463692715939838886,trep_world,0.0,-2.51671627481,-1.99995910979
1463692715952383612,7332,1463692715951654911,trep_world,0.0,-2.51626502213,-1.99994476418
1463692715970223719,7333,1463692715968556880,trep_world,0.0,-2.51578240521,-1.99992359522
1463692715986187859,7334,1463692715985768079,trep_world,0.0,-2.51526200375,-1.99989198324
1463692716002990815,7335,1463692716001873970,trep_world,0.0,-2.51471292692,-1.99988787201
1463692716020452658,7336,1463692716019612073,trep_world,0.0,-2.51412634691,-1.9998667559
1463692716036374543,7337,1463692716035283088,trep_world,0.0,-2.513499593,-1.99984179228
1463692716053037447,7338,1463692716051914930,trep_world,0.0,-2.51283734201,-1.99983569036
1463692716070934986,7339,1463692716068553924,trep_world,0.0,-2.51211523291,-1.99975957921
1463692716086302570,7340,1463692716085258007,trep_world,0.0,-2.51131386776,-1.99961078118
1463692716102204632,7341,1463692716101834058,trep_world,0.0,-2.51045331525,-1.99956428399
1463692716140831959,7342,1463692716139153957,trep_world,0.0,-2.50954213693,-1.99958309917
1463692716142749025,7343,1463692716142141103,trep_world,0.0,-2.50855522333,-1.99949904159
1463692716152743189,7344,1463692716151840925,trep_world,0.0,-2.50740397628,-1.99892701802
1463692716169482906,7345,1463692716168711900,trep_world,0.0,-2.50598966597,-1.99750814883
1463692716186905268,7346,1463692716185261011,trep_world,0.0,-2.5044085464,-1.99657710109
1463692716202907898,7347,1463692716201843976,trep_world,0.0,-2.502433952,-1.99419551513
1463692716219630739,7348,1463692716218858003,trep_world,0.0,-2.49968247234,-1.98774016169
1463692716235648030,7349,1463692716235239028,trep_world,0.0,-2.49687655434,-1.98398139966
1463692716254652779,7350,1463692716252645969,trep_world,0.0,-2.49298096224,-1.97613667331
1463692716269381108,7351,1463692716268553018,trep_world,0.0,-2.48694145065,-1.95824517132
1463692716286125356,7352,1463692716285435914,trep_world,0.0,-2.48222425768,-1.94939254022
1463692716302578664,7353,1463692716301925897,trep_world,0.0,-2.4750310749,-1.93356132047
1463692716329753246,7354,1463692716328170061,trep_world,0.0,-2.46268477667,-1.90020887682
1463692716335013273,7355,1463692716334758996,trep_world,0.0,-2.45534582713,-1.88437254416
1463692716353405330,7356,1463692716352622985,trep_world,0.0,-2.44292734029,-1.85778815532
1463692716369722473,7357,1463692716368732929,trep_world,0.0,-2.43038849346,-1.82815349283
1463692716386182709,7358,1463692716385639905,trep_world,0.0,-2.41405765617,-1.79351892727
1463692716402701927,7359,1463692716402173042,trep_world,0.0,-2.3977520343,-1.75507501131
1463692716420161760,7360,1463692716419261932,trep_world,0.0,-2.37732776564,-1.71271057515
1463692716436029290,7361,1463692716435583114,trep_world,0.0,-2.32399916873,-1.61677403606
1463692716452866051,7362,1463692716452223062,trep_world,0.0,-2.29842114836,-1.5569111271
1463692716469507708,7363,1463692716468965053,trep_world,0.0,-2.28343467726,-1.51409418106
1463692716486105044,7364,1463692716485532045,trep_world,0.0,-2.22107620533,-1.41914800446
